Title	Season	Producer	Singer	Date	Dislike	Like	View	URL	LD-Ratio
Neray Aah	5	Rohail Hyaat	"Overload, Rachel Viccaji"	" Jun 9, 2012"	545	"8,631"	"1,596,332 views"	https://www.youtube.com/watch?v=uORLlmx9qF4	0.063144479
Rung	5	Rohail Hyaat	Hadiqa Kiani	" Jun 9, 2012"	368	"8,564"	"1,695,952 views"	https://www.youtube.com/watch?v=Mdz0xrXY9I4	0.042970574
Rung	5	Rohail Hyaat	"Fareed Ayaz, Abu Muhammad"	" Jun 23, 2012"	256	"7,085"	"1,127,320 views"	https://www.youtube.com/watch?v=1BOPPS0GhW0	0.036132675
Bolay	5	Rohail Hyaat	Uzair Jaswal	" Jun 23, 2012"	48	"1,459"	"247,330 views"	https://www.youtube.com/watch?v=m8HvMryaoTs	0.032899246
Tora Bahraam Khaana	5	Rohail Hyaat	Hamayoon Khan	" Jun 23, 2012"	157	"3,895"	"861,229 views"	https://www.youtube.com/watch?v=qCEvr2mV_Eg	0.040308087
Dholna	5	Rohail Hyaat	Atif Aslam	" Jun 23, 2012"	207	"6,239"	"1,141,824 views"	https://www.youtube.com/watch?v=m27jhWteZSc	0.033178394
Kandyaari Dhol Geet	5	Rohail Hyaat	"Bohemia,Chakwal Group"	" Jun 23, 2012"	565	"21,001"	"2,674,636 views"	https://www.youtube.com/watch?v=RgBW3vWDxxc	0.026903481
Wah Wah Jhulara	5	Rohail Hyaat	Chakwal Group	" Jul 7, 2012"	172	"5,583"	"997,721 views"	https://www.youtube.com/watch?v=dE_HpIQ8fvg	0.030807809
Mahi	5	Rohail Hyaat	Overload	" Jul 7, 2012"	99	"1,853"	"369,084 views"	https://www.youtube.com/watch?v=IJlhSU6_HPI	0.053426875
Koi Labda	5	Rohail Hyaat	"SYMT, Sanam Marvi"	" Jul 7, 2012"	286	"11,470"	"2,227,842 views"	https://www.youtube.com/watch?v=wUDpqMdMxTo	0.024934612
